"","make","transmission","engine_displacement_cm3","power_cv","power_ice_kw","avg_wltp_consumption_l_100km","avg_wltp_emissions_gCO2_km","length_mm","width_mm","height_mm","gross_vehicle_weight_rating_kg","total_seating","fuel_economy_index","electric_consumption_kwh_100km","battery_capacity_kwh","vehicle_type","engine"
"1","AIWAYS","A",0,0,0,NA,0,4680,1865,1700,2135,5,"Sin clasificación",15.75,63,"Ligeros","Eléctricos"
"2","ALKE","SC",0,0,0,NA,0,3030,1500,2000,1510,2,"Sin clasificación",11,10,"Ligeros","Eléctricos"
"3","ALKE","SC",0,0,0,NA,0,3850,1500,2000,1510,2,"Sin clasificación",11,10,"Ligeros","Eléctricos"
"4","ALKE","SC",0,0,0,NA,0,3850,1500,2000,1510,2,"Sin clasificación",11,10,"Ligeros","Eléctricos"
"5","ALKE","SC",0,0,0,NA,0,4610,1500,2000,2150,4,"Sin clasificación",11,10,"Ligeros","Eléctricos"
"6","ALKE","SC",0,0,0,NA,0,3850,1500,2000,2510,2,"Sin clasificación",11,10,"Ligeros","Eléctricos"
"7","ALKE","SC",0,0,0,NA,0,4610,1500,2000,2510,4,"Sin clasificación",11,10,"Ligeros","Eléctricos"
"8","ALKE","SC",0,0,0,NA,0,3850,1500,2000,2150,2,"Sin clasificación",9.5,10,"Ligeros","Eléctricos"
"9","ALKE","SC",0,0,0,NA,0,3850,1500,2000,2150,2,"Sin clasificación",9.5,20,"Ligeros","Eléctricos"
"10","ALKE","SC",0,0,0,NA,0,3850,1500,2000,2150,2,"Sin clasificación",13,14.4,"Ligeros","Eléctricos"
"11","ALKE","SC",0,0,0,NA,0,4610,1500,2000,2150,4,"Sin clasificación",9.5,10,"Ligeros","Eléctricos"
"12","ALKE","SC",0,0,0,NA,0,4610,1500,2000,2150,4,"Sin clasificación",9.5,20,"Ligeros","Eléctricos"
"13","ALKE","SC",0,0,0,NA,0,4610,1500,2000,2150,4,"Sin clasificación",13,14.4,"Ligeros","Eléctricos"
"14","ALKE","SC",0,0,0,NA,0,4610,1500,2000,2510,4,"Sin clasificación",9.5,10,"Ligeros","Eléctricos"
"15","ALKE","SC",0,0,0,NA,0,4610,1500,2000,2510,4,"Sin clasificación",9.5,20,"Ligeros","Eléctricos"
"16","ALKE","SC",0,0,0,NA,0,4610,1500,2000,2510,4,"Sin clasificación",13,14.4,"Ligeros","Eléctricos"
"17","ALKE","SC",0,0,0,NA,0,3850,1500,2000,2510,2,"Sin clasificación",9.5,10,"Ligeros","Eléctricos"
"18","ALKE","SC",0,0,0,NA,0,3850,1500,2000,2510,2,"Sin clasificación",9.5,20,"Ligeros","Eléctricos"
"19","ALKE","SC",0,0,0,NA,0,3850,1500,2000,2510,2,"Sin clasificación",13,14.4,"Ligeros","Eléctricos"
"20","ALSTOM","SC",0,0,0,NA,0,12000,2510,3140,20000,96,"Sin clasificación",82,350,"Pesados","Eléctricos"
"21","ALSTOM","SC",0,0,0,NA,0,12000,2510,3140,20000,96,"Sin clasificación",82,350,"Pesados","Eléctricos"
"22","ARENA","SC",125,0,0,NA,0,1960,680,1130,254,2,"Sin clasificación",4.4,2.7,"Ligeros","Eléctricos"
"23","ASKOLL","SC",0,0,0,NA,0,1245,760,1036,245,2,"Sin clasificación",3.9,2.82,"Ligeros","Eléctricos"
"24","ASKOLL","SC",0,0,0,NA,0,1830,726,1036,245,1,"Sin clasificación",3.9,2.82,"Ligeros","Eléctricos"
"25","ASKOLL","SC",0,0,0,NA,0,1830,726,1036,245,2,"Sin clasificación",3.9,2.82,"Ligeros","Eléctricos"
"26","Abarth","M",1368,145.38,107,7.3,164,3660,1627,1485,1045,4,"G",NA,NA,"Ligeros","Fosiles"
"27","Abarth","M",1368,179.35,132,7.75,172,3660,1627,1485,1065,4,"G",NA,NA,"Ligeros","Fosiles"
"28","Abarth","M",1368,179.35,132,7.75,172,3660,1627,1485,1065,4,"G",NA,NA,"Ligeros","Fosiles"
"29","Abarth","M",1368,164.4,121,7.45,167,3660,1627,1485,1065,4,"G",NA,NA,"Ligeros","Fosiles"
"30","Abarth","M",1368,164.4,121,7.45,167,3660,1627,1485,1065,4,"G",NA,NA,"Ligeros","Fosiles"
"31","Abarth","M",1368,164.4,121,7.3,164,3660,1627,1485,1065,4,"G",NA,NA,"Ligeros","Fosiles"
"32","Abarth","M",1368,164.4,121,7.3,164,3660,1627,1485,1065,4,"G",NA,NA,"Ligeros","Fosiles"
"33","Abarth","M",1368,145.38,107,7.4,166,3660,1627,1485,1075,4,"G",NA,NA,"Ligeros","Fosiles"
"34","Abarth","M",1368,179.35,132,7.75,172,3660,1627,1485,1090,4,"G",NA,NA,"Ligeros","Fosiles"
"35","Abarth","M",1368,179.35,132,7.75,172,3660,1627,1485,1090,4,"G",NA,NA,"Ligeros","Fosiles"
"36","Abarth","M",1368,164.4,121,7.7,171,3660,1627,1485,1090,4,"G",NA,NA,"Ligeros","Fosiles"
"37","Abarth","M",1368,164.4,121,7.55,171,3660,1627,1485,1090,4,"G",NA,NA,"Ligeros","Fosiles"
"38","Abarth","M",1368,164.4,121,7.55,169,3660,1627,1485,1090,4,"G",NA,NA,"Ligeros","Fosiles"
"39","Abarth","M",1368,164.4,121,7.7,169,3660,1627,1485,1090,4,"G",NA,NA,"Ligeros","Fosiles"
"40","Abarth","M",1368,179.35,132,7.75,172,3660,1627,1485,1065,4,"G",NA,NA,"Ligeros","Fosiles"
"41","Alfa Romeo","M",1368,119.57,88,7.8,176,4351,1798,1465,1280,5,"E",NA,NA,"Ligeros","Fosiles"
"42","Alfa Romeo","M",1368,119.57,88,7.8,176,4351,1798,1465,1280,5,"E",NA,NA,"Ligeros","Fosiles"
"43","Alfa Romeo","M",1368,119.57,88,7.8,175,4351,1798,1465,1280,5,"E",NA,NA,"Ligeros","Fosiles"
"44","Alfa Romeo","M",1368,119.57,88,7.9,176,4351,1798,1465,1280,5,"E",NA,NA,"Ligeros","Fosiles"
"45","Alfa Romeo","M",1598,119.57,88,5.7,147,4351,1798,1465,1390,5,"E",NA,NA,"Ligeros","Fosiles"
